    263  6  4  331   7 2s 9f           -1.11374E-01 21.0
    264  6  4  331   8 2s10f           -9.02610E-02 21.0
    265  6  4  340   1 2s 5g           -3.61291E-01 27.0
    266  6  4  340   2 2s 6g           -2.50991E-01 27.0
    267  6  4  340   3 2s 7g           -1.84425E-01 27.0
    268  6  4  340   4 2s 8g           -1.41209E-01 27.0
    269  6  4  340   5 2s 9g           -1.11576E-01 27.0
    270  6  4  340   6 2s10g           -9.03770E-02 27.0
    271  6  5  200   1 2s 2p2          -8.93962E-01  2.0
    272  6  5  200   2 2s2 3s          -7.25253E-01  2.0
    273  6  5  200   3 2s2 4s          -3.58541E-01  2.0
    274  6  5  200   4 2s2 5s          -2.12125E-01  2.0
    275  6  5  200   5 2s2 6s          -1.40143E-01  2.0
    276  6  5  200   6 2s2 7s          -9.94760E-02  2.0
    277  6  5  200   7 2s2 8s          -7.42722E-02  2.0
    278  6  5  200   8 2s2 9s          -5.75835E-02  2.0
    279  6  5  200   9 2s210s          -4.59740E-02  2.0
    280  6  5  201   1 2p2(3PE) 3p      6.31842E-01  2.0
    281  6  5  201   2 2p2(3PE) 4p      9.43239E-01  2.0
    282  6  5  201   3 2p2(3PE) 5p      1.06788E+00  2.0
    283  6  5  201   4 2p2(3PE) 6p      1.13097E+00  2.0
    284  6  5  201   5 2p2(3PE) 7p      1.16731E+00  2.0
    285  6  5  201   6 2p2(3PE) 8p      1.19017E+00  2.0
    286  6  5  201   7 2p2(3PE) 9p      1.20549E+00  2.0
    287  6  5  201   8 2p2(3PE)10p      1.21625E+00  2.0
    288  6  5  210   1 2s 2p2          -7.66486E-01  6.0
    289  6  5  210   2 2s2p(3PO) 3p    -1.31032E-01  6.0
    290  6  5  210   3 2s2p(3PO) 4p     1.62771E-01  6.0
    291  6  5  210   4 2s2p(3PO) 5p     2.85208E-01  6.0
    292  6  5  210   5 2s2p(3PO) 6p     3.46370E-01  6.0
    293  6  5  210   6 2s2p(1PO) 3p     3.58687E-01  6.0
    294  6  5  210   7 2s2p(3PO) 7p     3.85347E-01  6.0
    295  6  5  210   8 2s2p(3PO) 8p     4.07960E-01  6.0
    296  6  5  210   9 2s2p(3PO) 9p     4.23259E-01  6.0
    297  6  5  210  10 2s2p(3PO)10p     4.34044E-01  6.0
    298  6  5  211   1 2s2 2p          -1.78769E+00  6.0
    299  6  5  211   2 2s2 3p          -5.90082E-01  6.0
    300  6  5  211   3 2s2 4p          -3.10093E-01  6.0
